Alex Ahrendtsen;DF;2015
Yildiz Akdogan;S;2015
Hans Andersen;V;2015
Christine Antorini;S;2015
Simon Emil Ammitzbøll;LA;2015
Ida Auken;RV;2015
Carsten Bach;LA;2015
Britt Bager;V;2015
Lise Bech;DF;2015
Pernille Bendixen;DF;2015
Kenneth Kristensen Berth;DF;2015
Liselott Blixt;DF;2015
Mette Bock;LA;2015
Erling Bonnesen;V;2015
Tilde Bork;DF;2015
Trine Bramsen;S;2015
Henrik Brodersen;DF;2015
Kirsten Brosbøl;S;2015
Stine Brix;EL;2015
May-Britt Buch-Kattrup;LA;2015
Hans Kristian Bundgaard-Skibby;DF;2015
Morten Bødskov;S;2015
Bent Bøgsted;DF;2015
Jan Rytkjær Callesen;DF;2015
Erik Christensen;S;2015
Kim Christiansen;DF;2015
René Christensen;DF;2015
Villum Christensen;LA;2015
Bjarne Corydon;S;2015
Henrik Dahl;LA;2015
Jonas Dahl;SF;2015
Jens Henrik W. Thulesen Dahl;DF;2015
Kristian Thulesen Dahl;DF;2015
Lennart Damsbo-Andersen;S;2015
Thomas Danielsen;V;2015
Mette Hjermind Dencker;DF;2015
Mikkel Dencker;DF;2015
Pelle Dragsted;EL;2015
Karina Due;DF;2015
Kaare Dybvad;S;2015
Pia Olsen Dyhr;SF;2015
Christina Egelund;LA;2015
Susanne Eilersen;DF;2015
Uffe Elbæk;ALT;2015
Louise Schack Elholm;V;2015
Karen Ellemann;V;2015
Jakob Ellemann-Jensen;V;2015
Benny Engelbrecht;S;2015
Søren Espersen;DF;2015
Dennis Flydtkjær;DF;2015
Eva Flyvholm;EL;2015
Josephine Fock;ALT;2015
Claus Hjort Frederiksen;V;2015
Mette Frederiksen;S;2015
René Gade;ALT;2015
Søren Gade;V;2015
Torsten Gejl;ALT;2015
Maria Reumert Gjerding;EL;2015
Mette Gjerskov;S;2015
Karin Gaardsted;S;2015
Ane Halsboe-Jørgensen;S;2015
Aleqa Hammond;SIU;2015
Claus Kvist Hansen;DF;2015
Eva Kjer Hansen;V;2015
Marlene Harpsøe;DF;2015
Orla Hav;S;2015
Martin Henriksen;DF;2015
Preben Bang Henriksen;V;2015
Magnus Heunicke;S;2015
Jane Heitmann;V;2015
Carl Holst;V;2015
Høgni Hoydal;T;2015
Henning Hyllested;EL;2015
Nick Hækkerup;S;2015
Karsten Hønge;SF;2015
Bertel Haarder;V;2015
Daniel Toft Jakobsen;S;2015
Rasmus Jarlov;KF;2015
Jeppe Jakobsen;DF;2015
Marianne Jelved;RV;2015
Jacob Jensen;V;2015
Kristian Jensen;V;2015
Leif Lahn Jensen;S;2015
Michael Aastrup Jensen;V;2015
Mogens Jensen;S;2015
Peter Juel Jensen;V;2015
Thomas Jensen;S;2015
Jens Joel;S;2015
Jan Johansen;S;2015
Christian Juhl;EL;2015
Dan Jørgensen;S;2015
Jan E. Jørgensen;V;2015
Naser Khader;KF;2015
Marie Krarup;DF;2015
Pia Kjærsgaard;DF;2015
Karen J. Klint;S;2015
Marcus Knuth;V;2015
Simon Kollerup;S;2015
Astrid Krag;S;2015
Henrik Dam Kristensen;S;2015
Christian Langballe;DF;2015
Aaja Chemnitz Larsen;IA;2015
Esben Lunde Larsen;V;2015
Henrik Sass Larsen;S;2015
Merete Dea Larsen;DF;2015
Rasmus Horn Langhoff;S;2015
Karsten Lauritzen;V;2015
Bjarne Laustsen;S;2015
Martin Lidegaard;RV;2015
Lars Chr. Lilleholt;V;2015
Annette Lind;S;2015
Laura Lindahl;LA;2015
Kristian Pihl Lorentzen;V;2015
Rune Lund;EL;2015
Mogens Lykketoft;S;2015
Sophie Løhde;V;2015
Christian Rabjerg Madsen;S;2015
Carolina Magdalene Maier;ALT;2015
Morten Marinus;DF;2015
Jacob Mark;SF;2015
Anni Matthiesen;V;2015
Roger Matthisen;ALT;2015
Mai Mercado;KF;2015
Jan Erik Messmann;DF;2015
Brian Mikkelsen;KF;2015
Leif Mikkelsen;LA;2015
Flemming Møller Mortensen;S;2015
Sofie Carsten Nielsen;RV;2015
Holger K. Nielsen;SF;2015
Rasmus Nordqvist;ALT;2015
Karin Nødgaard;DF;2015
Ellen Trane Nørby;V;2015
Joachim B. Olsen;LA;2015
Ole Birk Olesen;LA;2015
Søren Pape;KF;2015
Maja Panduro;S;2015
Torsten Schack Pedersen;V;2015
Jesper Petersen;S;2015
Søren Pind;V;2015
Christian Poll;ALT;2015
Lisbeth Bech Poulsen;SF;2015
Peter Kofod Poulsen;DF;2015
Ib Poulsen;DF;2015
Troels Lund Poulsen;V;2015
Rasmus Prehn;S;2015
Lars Løkke Rasmussen;V;2015
Søren Egge Rasmussen;EL;2015
Mette Reissmann;S;2015
Merete Riisager;LA;2015
Lotte Rod;RV;2015
Pernille Rosenkrantz-Theil;S;2015
Anders Samuelsen;LA;2015
Ulla Sandbæk;ALT;2015
Torsten Schack Pedersen;V;2015
Johanne Schmidt-Nielsen;EL;2015
Hans Christian Schmidt;V;2015
Pernille Schnoor;S;2015
Pernille Skipper;EL;2015
Julie Skovsby;S;2015
Sjúrður Skaale;JF;2015
Peter Skaarup;DF;2015
Zenia Stampe;RV;2015
Andreas Steenberg;RV;2015
Inger Støjberg;V;2015
Finn Sørensen;EL;2015
Søren Søndergaard;EL;2015
Jakob Sølvhøj;EL;2015
Mattias Tesfaye;S;2015
Peter Hummelgaard Thomsen;S;2015
Helle Thorning-Schmidt;S;2015
Trine Torp;SF;2015
Dorthe Ullemose;DF;2015
Nikolaj Villumsen;EL;2015
Nicolai Wammen;S;2015
Lea Wermelin;S;2015
Morten Østergaard;RV;2015
